NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,93.56,1-Y,15.89,OverallOffsetX,0,OverallOffsetY,0,
,,,,,,,,,,,,,
NozzleChange,ON,BeforeComponent,53,Head2,Drop,Station1,PickUp,Station2,
NozzleChange,ON,BeforeComponent,57,Head2,Drop,Station2,PickUp,Station3,
NozzleChange,OFF,BeforeComponent,1,Head2,Drop,Station3,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
C1,100n,CN065-0805,31.91,17.08,90.00,1,13,100,0.0,1.3,3,0
C2,100n,CN065-0805,8.10,13.84,90.00,2,13,100,0.0,1.3,3,0
C3,100n,CN065-0805,39.43,28.00,90.00,1,13,100,0.0,1.3,3,0
C4,100n,CN065-0805,51.38,4.95,0.00,2,13,100,0.0,1.3,3,0
C6,100n,CN065-0805,17.36,15.88,0.00,1,13,100,0.0,1.3,3,0
C7,100n,CN065-0805,67.89,6.50,90.00,2,13,100,0.0,1.3,3,0
C8,100n,CN065-0805,67.93,9.25,90.00,1,13,100,0.0,1.3,3,0
C10,100p,CN065-0805,10.42,16.90,90.00,2,7,100,0.0,0.7,3,0
C11,100p,CN065-0805,34.93,10.16,0.00,1,7,100,0.0,0.7,3,0
C9,100p,CN065-0805,19.88,20.39,90.00,2,7,100,0.0,0.7,3,0
D1,LED,CN065-0805,60.39,28.27,0.00,1,5,100,0.0,0.9,3,0
D5,LED,CN065-0805,54.16,15.16,170.00,2,5,100,0.0,0.9,3,0
R17,100k,CN065-0805,111.75,3.50,0.00,1,2,100,0.0,0.7,3,0
R19,100k,CN065-0805,110.00,9.75,0.00,2,2,100,0.0,0.7,3,0
R20,100k,CN065-0805,115.25,3.50,0.00,1,2,100,0.0,0.7,3,0
R3,100k,CN065-0805,127.90,9.77,0.00,2,2,100,0.0,0.7,3,0
R4,100k,CN065-0805,125.63,3.50,0.00,1,2,100,0.0,0.7,3,0
R6,100k,CN065-0805,118.66,3.50,0.00,2,2,100,0.0,0.7,3,0
R7,100k,CN065-0805,118.94,9.75,0.00,1,2,100,0.0,0.7,3,0
R1,100R,CN065-0805,51.45,9.20,0.00,2,14,100,0.0,0.7,3,0
R10,100R,CN065-0805,54.18,27.75,90.00,1,14,100,0.0,0.7,3,0
R11,100R,CN065-0805,47.20,19.67,0.00,2,14,100,0.0,0.7,3,0
R12,100R,CN065-0805,54.20,10.91,0.00,1,14,100,0.0,0.7,3,0
R14,100R,CN065-0805,50.70,19.69,0.00,2,14,100,0.0,0.7,3,0
R2,100R,CN065-0805,61.25,10.45,0.00,1,14,100,0.0,0.7,3,0
R35,100R,CN065-0805,26.45,20.50,90.00,2,14,100,0.0,0.7,3,0
R36,100R,CN065-0805,54.25,21.00,0.00,1,14,100,0.0,0.7,3,0
R8,100R,CN065-0805,54.25,25.25,90.00,2,14,100,0.0,0.7,3,0
R26,10k,CN065-0805,72.00,12.50,0.00,1,16,100,0.0,0.7,3,0
R27,10k,CN065-0805,68.00,12.00,90.00,2,16,100,0.0,0.7,3,0
R28,10k,CN065-0805,71.10,23.80,90.00,1,16,100,0.0,0.7,3,0
R23,1k24,CN065-0805,72.00,8.25,0.00,2,15,100,0.0,0.7,3,0
R24,1k24,CN065-0805,78.25,16.00,90.00,1,15,100,0.0,0.7,3,0
R21,20R,CN065-0805,47.50,9.50,90.00,2,17,100,0.0,0.7,3,0
R22,20R,CN065-0805,80.00,27.64,90.00,1,17,100,0.0,0.7,3,0
R9,20R,CN065-0805,57.75,28.33,0.00,2,17,100,0.0,0.7,3,0
R25,71k5,CN065-0805,70.10,16.66,0.00,1,1,100,0.0,0.7,3,0
R29,768R,CN065-0805,71.00,20.25,90.00,2,4,100,0.0,0.7,3,0
R30,768R,CN065-0805,80.00,25.00,90.00,1,4,100,0.0,0.7,3,0
R13,7k32,CN065-0805,57.75,10.50,0.00,2,10,100,0.0,0.7,3,0
R31,7k32,CN065-0805,34.50,14.50,90.00,1,10,100,0.0,0.7,3,0
R32,7k32,CN065-0805,35.25,19.50,0.00,2,10,100,0.0,0.7,3,0
R33,7k32,CN065-0805,31.58,20.25,90.00,1,10,100,0.0,0.7,3,0
R34,7k32,CN065-0805,31.00,13.40,0.00,2,10,100,0.0,0.7,3,0
R15,5M1,CN065-1206,75.00,27.30,0.00,1,6,100,0.0,0.6,3,0
Q2,NMOS,CN065-SOT,74.30,16.75,-90.00,2,8,100,0.0,0.8,3,0
Q3,NMOS,CN065-SOT,75.50,21.75,-90.00,1,8,100,0.0,0.8,3,0
D4,SOD-123/Ze,CN065-SOD,71.75,3.50,0.00,2,48,100,0.0,1.0,3,0
U2,LM4040DBZ-,CN065-SOT,67.50,2.75,90.00,1,1,100,0.0,0.8,3,1
R16,DNP,CN065-0805,114.50,9.75,0.00,2,1,100,0.0,0.7,3,1
R18,DNP,CN065-0805,122.25,3.50,0.00,1,1,100,0.0,0.7,3,1
R5,DNP,CN065-0805,123.50,9.75,0.00,2,1,100,0.0,0.7,3,1
C5,22u,CN140-1210,80.00,20.25,0.00,2,3,100,0.0,2.6,3,0
U5,74LVC125,CN140-SOIC,23.75,15.00,90.00,2,45,100,0.0,1.6,3,0
Q1,HV-NMOS,CN140-TO25,86.50,23.40,0.00,2,44,70,0.0,2.3,4,0
U1,APV1121S,CN140-SOP,66.50,28.00,-90.00,2,19,70,0.0,2.0,4,0
U3,SFH620A-2X,CN220-SMDI,62.44,22.00,-90.00,2,55,70,3.0,4.2,4,0
U4,SFH620A-2X,CN220-SMDI,62.44,15.75,-90.00,2,55,70,3.0,4.2,4,0
